person	company1	item	company2
2	22	0	21
2	22	1	21
2	23	0	21
2	23	1	21
2	21	0	22
2	21	1	22
2	23	0	22
2	23	1	22
2	21	0	23
2	21	1	23
2	22	0	23
2	22	1	23
3	22	0	21
3	22	1	21
3	23	0	21
3	23	1	21
3	21	0	22
3	21	1	22
3	23	0	22
3	23	1	22
3	21	0	23
3	21	1	23
3	22	0	23
3	22	1	23
5	21	0	26
5	21	1	26
5	22	0	26
5	22	1	26
5	26	0	21
5	26	1	21
5	22	0	21
5	22	1	21
5	26	0	22
5	26	1	22
5	21	0	22
5	21	1	22
7	21	0	26
7	21	1	26
7	22	0	26
7	22	1	26
7	26	0	21
7	26	1	21
7	22	0	21
7	22	1	21
7	26	0	22
7	26	1	22
7	21	0	22
7	21	1	22
9	21	0	26
9	21	1	26
9	26	0	21
9	26	1	21
