person1	company1	person2	company2
3	22	2	21
5	22	2	21
7	22	2	21
3	23	2	21
3	21	2	22
5	21	2	22
7	21	2	22
3	23	2	22
3	21	2	23
3	22	2	23
2	22	3	21
5	22	3	21
7	22	3	21
2	23	3	21
2	21	3	22
5	21	3	22
7	21	3	22
2	23	3	22
2	21	3	23
2	22	3	23
7	21	5	26
9	21	5	26
7	22	5	26
7	26	5	21
9	26	5	21
2	22	5	21
3	22	5	21
7	22	5	21
7	26	5	22
2	21	5	22
3	21	5	22
7	21	5	22
5	21	7	26
9	21	7	26
5	22	7	26
5	26	7	21
9	26	7	21
2	22	7	21
3	22	7	21
5	22	7	21
5	26	7	22
2	21	7	22
3	21	7	22
5	21	7	22
5	21	9	26
7	21	9	26
5	26	9	21
7	26	9	21
